"unique_id","case_type","case_number","complainant_age_group","ethnicity","gender","officer_293_and_public_narrative","complaint_received_date","findings_issued_date","case_origin","referral_to_agency_account_name","referral_from_agency_account_name","district","officer_involvement_id","allegation_id","allegation_type","allegation_summary","allegation_summary_old","dpa_finding","open_or_closed_case","status","sub_status","case_length_of_investigation_days","days_intake_submitted","incident_location","analysis_neighborhood","supervisor_district"," point","data_as_of","data_loaded_at"
"5004U00001J1xyy___closed","SFPD","5004U00001J1xyy",,,,,,"2024/08/07","Online Form",,,,,,,,,,"closed","Closed","Merged",,,,,,,"2024/12/27 09:00:04 AM","2026/01/23 12:10:12 PM"
"5004U00001J1xyy___open","SFPD","5004U00001J1xyy",,,,,,"2024/08/07","Online Form",,,,,,,,,,"open","Closed","Merged",,,,,,,"2024/12/27 09:00:04 AM","2026/01/23 12:10:12 PM"
"5004U00001MBIcZ___closed","SFPD","5004U00001MBIcZ",,,,"Merged: The officer behaved or spoke inappropriately.",,"2024/10/28","Online Form",,,,,,,,,,"closed","Closed","Merged",,,,,,,"2024/12/27 09:00:04 AM","2026/01/23 12:10:12 PM"
"5004U00001MBIcZ___open","SFPD","5004U00001MBIcZ",,,,"Merged: The officer behaved or spoke inappropriately.",,"2024/10/28","Online Form",,,,,,,,,,"open","Closed","Merged",,,,,,,"2024/12/27 09:00:04 AM","2026/01/23 12:10:12 PM"
"500Pb00000jSS66___closed","SFPD","500Pb00000jSS66",,,,"Merged: The complainant alleged that officers did not properly investigate the incident where the complainant was reported hurting his mother and arrested the complainant without reasons.",,"2025/03/21","Online Form",,,,,,,,,,"closed","Closed","Merged",,,"CONGDON ST \ MAYNARD ST","Excelsior","11","POINT (-122.426024705 37.729396982)","2026/01/02 08:31:31 AM","2026/01/23 12:10:12 PM"
"500Pb0000120TbU___closed","SFPD","500Pb0000120TbU",,,,,,"2025/07/23","Email",,,,,,,,,,"closed","Closed",,,,,,,,"2026/01/02 08:31:31 AM","2026/01/23 12:10:12 PM"
"500Pb00001HsXmO___closed","SFPD","500Pb00001HsXmO",,,,,,"2025/10/07","Phone",,,,,,,,,,"closed","Closed",,,,,,,,"2026/01/02 08:31:31 AM","2026/01/23 12:10:12 PM"
"500Pb00001Hu8aB___closed","SFPD","500Pb00001Hu8aB",,,,,,"2025/10/07","Phone",,,,,,,,,,"closed","Closed",,,,,,,,"2026/01/02 08:31:31 AM","2026/01/23 12:10:12 PM"
"500Pb00001Kd1jP___closed","SFPD","500Pb00001Kd1jP",,,,,,"2025/10/16","Civil Claim",,,,,,,,,,"closed","Closed","Improper Conduct (Sustained)",,,,,,,"2026/01/02 08:31:31 AM","2026/01/23 12:10:12 PM"
"500Pb00001QU4Rl_a1aPb00001SL2J7__open","SFPD","500Pb00001QU4Rl","31-40",,,"Merged: An officer failed to investigate appropriately by refusing to believe the complainant's evidence.","2025/10/31","2025/10/31","Online Form",,,,"a1aPb00001SL2J7",,,,,,"open","Closed","Merged","0.0",,,,,,"2026/01/02 08:31:31 AM","2026/01/23 12:10:12 PM"
"500Pb00001QU4Rl___closed","SFPD","500Pb00001QU4Rl","31-40",,,"Merged: An officer failed to investigate appropriately by refusing to believe the complainant's evidence.","2025/10/31","2025/10/31","Online Form",,,,,,,,,,"closed","Closed","Merged","0.0",,,,,,"2026/01/02 08:31:31 AM","2026/01/23 12:10:12 PM"
"500Pb00001QMol8_a1aPb00001SHbwz_a1VPb0000031e6X_open","SFPD","500Pb00001QMol8","31-40","Black or African American","Female","An officer exhibited rude, aggressive, and racially discriminatory behavior.","2025/10/30",,"Phone",,,"D - Mission","a1aPb00001SHbwz","a1VPb0000031e6X","Conduct Unbecoming an Officer","The officer behaved or spoke inappropriately.",,"Pending","open","New",,,,"ANGELOS ALY \ JULIA ST \ MISSION ST","South of Market","6","POINT (-122.412413344 37.778045329)","2026/01/02 08:31:31 AM","2026/01/23 12:10:12 PM"
"500Pb00001QMol8_a1aPb00001SHbwz_a1VPb0000031e1h_open","SFPD","500Pb00001QMol8","31-40","Black or African American","Female","An officer exhibited rude, aggressive, and racially discriminatory behavior.","2025/10/30",,"Phone",,,"D - Mission","a1aPb00001SHbwz","a1VPb0000031e1h","Conduct Unbecoming an Officer","The officer knowingly engaged in biased policing or discrimination.",,"Pending","open","New",,,,"ANGELOS ALY \ JULIA ST \ MISSION ST","South of Market","6","POINT (-122.412413344 37.778045329)","2026/01/02 08:31:31 AM","2026/01/23 12:10:12 PM"
"500Pb00001PmwSb_a1aPb00001S16PJ_a1VPb000002zW8H_open","SFPD","500Pb00001PmwSb",,,,"The complainant raises matters outside the Department of Police Accountability's jurisdiction.","2025/10/28",,"Online Form","DEM Division of Emergency Communications",,"Not Applicable","a1aPb00001S16PJ","a1VPb000002zW8H","Referral","The complainant raises matters outside the Department of Police Accountability's jurisdiction.",,"Referral to Other Agency","open","Internal Review","Full Referral",,"0",,,,,"2026/01/02 08:31:31 AM","2026/01/23 12:10:12 PM"
